language,number_occurrences,translations_freq
dwr,18,{'$kaf': 18}
dww,18,"{'e$kiu$': 13, 'ika$kiu$': 3}"
dyi,18,{'$sannjɛr': 18}
dyo,18,"{'naakayit': 10, '$basuwa': 5}"
dyu,18,{'$kɔnɔw$': 16}
ebk,18,{'$kossel$': 17}
efi,135,"{'inuen$': 84, 'fede$': 49}"
eka,18,{'ruk$': 16}
eko,28,{'$anyanny': 26}
ell,135,"{'$πετούμε': 50, '$πουλι': 47, '$πουλί$': 19}"
emi,8,"{'$me$ghil': 6, 'hila$ato': 2}"
emp,18,{'$ĩbana': 16}
enb,18,{'$tāriit$': 16}
eng,135,"{'$bird': 68, 'lying$cr': 49}"
enl,18,{'$nata$': 18}
enm,18,"{'$foules$': 11, '$bird': 7}"
enx,18,{'$náta$': 18}
epo,135,{'birdo': 129}
eri,18,{'$neei$': 18}
ese,18,{'cuichojj': 16}
esi,18,"{'miat$': 10, 'miallu$': 3, '$tiŋmian': 2}"
esk,18,{'$tiŋmi': 18}
est,18,"{'$lind': 12, '$linnud$': 6}"
esu,18,"{'yaqulget': 15, 'amanek$i': 2}"
etr,8,{'$haea': 8}
etu,18,{'nón$': 16}
eus,18,{'$chori': 16}
eve,4,{'$дэгил': 4}
ewe,18,"{'xewo$': 13, '$xeviwo$': 3}"
eza,18,"{""'ewhe$l'"": 10, '$ẹnu$': 5, ""daa$l'ag"": 3}"
faa,18,"{'$menamo$': 8, 'uyare$so': 3, 'asa$ipi$': 2, 'aka$tora': 2}"
fad,4,{'$é$': 4}
fai,18,{'$awon$': 18}
fal,18,{'$jooy$': 18}
fao,135,{'$fugl': 122}
ffm,18,{'$pooli$': 17}
fij,135,{'anumanuv': 129}
fil,18,{'$mga$ibo': 18}
fin,135,"{'$linnu': 49, '$luomu': 49, 'lintu': 30}"
fon,135,{'xɛ$': 116}
for,18,{'$kabara': 18}
fra,135,"{'oiseau': 78, '$volante': 49}"
fry,135,{'$fûgel': 127}
fub,18,{'$colli$': 18}
fue,9,{'$pooli$': 9}
fuf,18,{'$colli$': 17}
fuh,18,{'$pooli$': 17}
fuq,18,{'$colli$': 18}
fuv,18,{'$colli$': 18}
gaa,18,{'$loofɔ': 18}
gag,18,{'$kuşlar': 16}
gah,18,"{'$gaha$n': 8, '$nama$ne': 6, 'itó$nama': 3}"
gam,18,"{'$ka$wo$': 7, 'doa$ka$n': 4, 'r$dje$wa': 3, 'og$kena$': 3}"
gaw,18,"{'$ai$ag$': 8, '$ai$': 10}"
gbi,18,{'$namo$': 18}
gbo,18,{'$noe': 18}
gbr,18,"{'$alu$': 12, '$awyisal': 2}"
gde,18,"{'$əgin': 13, 'tə$ca$lə': 3}"
gdg,18,{'$mammanu': 16}
gdn,18,"{'o$midiwa': 13, 'de$midiw': 3}"
gdr,18,{'$ngena': 18}
geb,18,"{'$korigi$': 10, '$korgi$z': 4, '$korgi': 3}"
gej,18,"{'$xèvi': 14, '$lè$pòdo': 3}"
gfk,18,{'a$maan$': 17}
ghe,18,{'$ययू': 18}
ghs,18,"{'mi$nee$': 7, 'suna$are': 2, '$ttaqano': 2, 'uho$nee$': 2, '$mae$dzo': 2, 'a$bab': 2}"
gid,18,{'iŋgeɗ': 17}
gil,18,"{'$manniki': 11, 'ka$a$kib': 3, 'ai$nneia': 2}"
giz,135,{'$ɗiyuw': 115}
gjn,18,"{'ɛ$mbuibi': 13, '$asɔ$gbe': 3}"
gkn,18,{'$ńnóm': 18}
gkp,135,"{'ŋɔni': 93, '$ŋ̀ɔni': 28}"
gla,2,{'eoin$an$': 2}
gle,129,"{'éanlaith': 77, '$éin$': 13, '$éan$': 15, '$héin$': 8}"
glv,10,{'$eeanlee': 10}
gmv,18,{'$kafot': 16}
gnb,18,{'$vacha': 17}
gnd,18,"{'$gà$ɗiye': 13, 'gà$məmba': 3}"
gng,18,{'$inuɔn': 18}
gnn,68,"{'buṯthuna': 14, 'lala$buṯ': 6, 'äyindhun': 7, 'i$martha': 7, 'a$wäyin': 17, 'buṯthun$': 2}"
gnw,18,{'$güɨra$': 17}
gof,18,{'$kafo': 18}
gog,18,{'zindeje$': 18}
gor,18,"{'ubuu-lun': 8, 'bulungi$': 10}"
got,7,{'$fugl': 6}
gqr,18,{'$yəl’gɨ$': 17}
grc,115,"{'πετειν': 72, '$ορνε': 18, '$ορνιθι': 9}"
grt,18,"{'্কানি$দো': 6, '্রাং$বিল': 3, 'ওরাং': 3, '$মালগিবা': 2}"
gso,18,{'$nɔy$': 18}
gub,135,{'$wiràmir': 117}
guc,18,"{'$wuchii': 13, ""suu'ulia"": 3}"
gud,18,{'$libhli': 17}
gug,14,{'$guyra': 13}
guh,18,"{'$pepunae': 7, 'aratsui$': 9}"
gui,18,{'$güɨra$': 17}
guj,135,"{'પક્ષી': 81, 'પંખી': 43}"
guk,18,{'መት$እል$': 16}
gul,18,{'$bod$': 18}
gum,18,{'$illimer': 18}
gun,18,{'$guyra': 18}
guo,18,"{'$mia': 14, '$kakan': 3}"
guq,18,{'$kuyra$': 18}
gur,135,"{'$niihe$': 84, '$niiŋa$': 24, 'a$mɔen$d': 4, '$n$ɛn': 3}"
guw,18,{'$ohẹ̀$': 18}
gux,18,{'$bonyugi': 18}
guz,18,{'chinyoni': 17}
gvc,18,"{'ichahca$': 12, '$wʉina': 4}"
gvf,18,{'$kauba$': 18}
gvl,18,{'$helge$': 18}
gvn,44,{'$dikal': 38}
gwi,18,"{'iitsal$': 14, 'a$choo$c': 3}"
gya,135,"{'$nɔ̧́í̧$': 105, '$o$nɔ': 4, 'ɔ̧́í': 3, 'in$o$saɗ': 2, '$bu̧i': 2}"
gym,18,{'$nukwä$': 18}
gyr,18,{'$vɨ̃rai$': 18}
hae,18,"{'$shimbir': 12, 'llaattii': 4}"
hag,18,{'$niin': 18}
hak,18,"{'$tiâu-é$': 9, '$fî-niâu': 7}"
hat,135,{'$zwazo$': 123}
hau,18,{'$tsunts': 18}
haw,14,{'$na$manu': 13}
hay,18,{'inyonyi$': 16}
hbo,117,"{'וף': 67, 'צִּפ': 12, 'צִפֹּ': 18, 'צִפ': 5}"
hch,18,{'$viquixi': 18}
heb,18,"{'עוֹפוֹת$': 13, 'ִּפּוֹרִ': 3}"
heg,42,"{'kee$': 30, 'kee-tilu': 10}"
heh,18,{'fidege$': 17}
hif,18,{'$chiṛia$': 16}
hig,18,"{'$""yə$': 18}"
hil,18,{'mga$pisp': 17}
hin,18,"{'$पंछ': 9, 'पक्षियों': 5, '$पक्षी$': 4}"
hix,18,"{'$torono$': 15, 'tàrar$ho': 3}"
hla,18,{'$apena$': 18}
hlt,18,"{'$va$thli': 5, '$va$lawn': 5, '$va$phun': 3, '$va$boei': 3}"
hmo,18,"{'a$manu': 13, '$manu': 5}"
hne,18,{'$चिरई': 18}
hnj,135,"{'$naag$no': 45, 'noog$sau': 17, '$laj$daa': 13, '$noog$kw': 11, 'tug$noog': 9, 'tej$noog': 4}"
hnn,18,{'a$manuk$': 16}
hns,18,{'$tjierai': 18}
hop,18,{'$masay’y': 18}
hot,18,"{'a$menak$': 10, 'k$menak$': 6}"
hra,135,"{'$chunglê': 32, '$vat': 22, '$vâ$': 19, '$vâhai': 15, '$vahai': 10, 'vuang$': 6}"
hrv,135,"{'$pti': 108, '$lete': 24}"
hto,18,"{'$féedɨn': 11, '$ófocui': 7}"
hub,18,"{'$chigki': 11, '$nanamti': 4, '$napi$ai': 2}"
hui,18,"{'a$ega': 11, '$ega$tar': 4}"
hun,135,"{'$mad': 77, 'deső$ter': 47}"
hus,18,"{""$ch'ichi"": 18}"
huu,18,"{'$silli': 12, 'uicɨnɨaɨ': 2, '$inonɨaɨ': 2}"
huv,18,{'$quiec$': 17}
hvn,18,"{'$doli': 11, '$do$lila': 6}"
hwc,18,{'$bird': 18}
hye,135,{'$թռչ': 134}
ian,18,"{'$waavi$y': 6, 'a$waavi$': 4, 'waavi$nɨ': 2, '$wungi$s': 2}"
iba,18,{'$burung$': 18}
ibo,135,"{'anụ$ufe$': 80, '$nnụnụ$': 54}"
icr,18,{'$bord$': 18}
ifa,18,{'$hamuti': 18}
ifb,18,{'hamuti': 18}
ifk,18,{'hamuti': 16}
ifu,18,{'$hagwiti': 16}
ify,135,{'$sisit$': 123}
ign,18,"{'yureana$': 14, '$kayure': 2}"
ike,135,{'$ᑎᖕᒥᐊ': 127}
ikk,18,{'$nnụnụ$': 18}
ikw,18,{'ọnunu$': 18}
ilb,14,{'$bazuni$': 14}
ilo,135,{'tayab$': 131}
imo,18,"{'$kerama': 11, 'e$kera$k': 3, 'ngi$lopa': 3}"
inb,18,{'$piskuku': 16}
ind,135,"{'terbang$': 55, '$burung': 63}"
ino,18,{'$nama': 18}
iou,56,{'$barak': 54}
ipi,18,"{'$eka$tup': 8, '$eka': 10}"
iqw,18,"{'$ụnwenu$': 13, '$nwẹnu$': 5}"
iri,18,{'e̱mie̱$': 18}
irk,18,{'$tsir/': 18}
iry,18,{'$ibon$': 16}
isd,18,{'$an-anù$': 18}
isl,18,{'$fugl': 18}
ita,135,"{'uccell': 67, '$volatil': 63}"
itv,18,{'$mammanu': 18}
ium,135,{'$norqc$': 127}
ivb,18,"{'$manoman': 14, '$komayak': 4}"
ivv,18,{'$manoman': 17}
iws,18,{'$ɨpiyɨn': 18}
ixl,18,"{""$tz'ikin"": 16}"
izr,18,{'$nanon$': 18}
izz,18,"{'$ẹnu$': 14, ""$ephe$l'"": 4}"
jac,18,"{""no'$ch'i"": 17}"
jae,18,{'$moc$': 18}
jam,18,{'$bod$': 18}
jav,135,"{'$manuk': 113, '$peksi': 12}"
jbu,18,"{'$anyi$': 15, '$nyi$baa': 3}"
jic,18,"{'$tsipyay': 12, 'manta$wi': 2, '$jis$pam': 2}"
jiv,18,"{'$nanamti': 8, '$chiṉki': 10}"
jmc,18,"{'$ndeye$t': 13, '$ya$ndey': 2}"
jpn,135,"{'鳥': 76, '飛ぶ生き物': 49}"
jra,18,{'$čĭm$': 18}
jvn,18,{'$manuk': 18}
kaa,85,"{'$quslar': 62, '$qus$': 12}"
kab,18,"{'fṛax$': 14, 'yuṛ$': 4}"
kac,135,"{'ntsa$mal': 82, '$ai$u$': 12, '$u$ni$': 8, '$u$l': 9, '$tsip$': 4}"
kal,15,{'$timmi': 15}
kan,18,"{'$ಪಕ್ಷಿ': 14, '$ಹಕ್ಕಿಗಳ': 4}"
kao,18,{'$xonolu$': 16}
kap,4,{'$мигьна': 4}
